n, comparisons_quick, compartisons_merge, time_quick, time_merge
1000000, 34670451, 18673907, 141000.000000, 268000.000000
1000000, 34832675, 18674415, 141000.000000, 260000.000000
1000000, 34340175, 18674113, 141000.000000, 258000.000000
1000000, 34521596, 18673611, 139000.000000, 260000.000000
1000000, 35677736, 18674607, 142000.000000, 256000.000000
1000000, 34970144, 18673799, 142000.000000, 254000.000000
1000000, 33951125, 18674768, 141000.000000, 256000.000000
1000000, 34974790, 18673990, 142000.000000, 254000.000000
1000000, 34676485, 18674550, 143000.000000, 255000.000000
1000000, 34847734, 18673406, 141000.000000, 256000.000000
1000000, 34151878, 18674251, 141000.000000, 256000.000000
1000000, 36448384, 18673843, 145000.000000, 256000.000000
1000000, 34561497, 18674337, 141000.000000, 254000.000000
1000000, 35702849, 18673749, 142000.000000, 256000.000000
1000000, 37818160, 18673847, 145000.000000, 254000.000000
1000000, 34243465, 18675362, 143000.000000, 254000.000000
1000000, 35125136, 18675020, 140000.000000, 261000.000000
1000000, 35162353, 18673864, 141000.000000, 255000.000000
1000000, 34589906, 18674638, 140000.000000, 254000.000000
1000000, 34076044, 18673839, 140000.000000, 254000.000000
1000000, 34323804, 18673769, 140000.000000, 255000.000000
1000000, 35277541, 18674557, 139000.000000, 257000.000000
1000000, 35011686, 18673849, 143000.000000, 255000.000000
1000000, 34253566, 18673579, 141000.000000, 255000.000000
1000000, 34700891, 18675082, 141000.000000, 256000.000000
1000000, 34787460, 18673845, 143000.000000, 256000.000000
1000000, 34375095, 18675077, 142000.000000, 254000.000000
1000000, 35899852, 18674208, 142000.000000, 254000.000000
1000000, 35182674, 18673601, 142000.000000, 255000.000000
1000000, 34614771, 18673356, 143000.000000, 254000.000000
1000000, 35345840, 18674744, 140000.000000, 255000.000000
1000000, 34233391, 18674184, 142000.000000, 254000.000000
1000000, 34987210, 18673899, 142000.000000, 255000.000000
1000000, 35372565, 18674752, 141000.000000, 256000.000000
1000000, 35708820, 18674273, 143000.000000, 255000.000000
1000000, 35571755, 18674341, 142000.000000, 255000.000000
1000000, 34579776, 18674469, 143000.000000, 254000.000000
1000000, 34361596, 18675039, 141000.000000, 254000.000000
1000000, 35042827, 18675060, 141000.000000, 255000.000000
1000000, 34522801, 18674731, 142000.000000, 254000.000000
1000000, 34164085, 18674371, 143000.000000, 254000.000000
1000000, 34497819, 18673098, 139000.000000, 254000.000000
1000000, 34672054, 18673945, 141000.000000, 256000.000000
1000000, 35314003, 18674650, 142000.000000, 254000.000000
1000000, 35523607, 18673850, 142000.000000, 255000.000000
1000000, 35479319, 18673431, 142000.000000, 255000.000000
1000000, 34901540, 18673896, 141000.000000, 254000.000000
1000000, 35522280, 18674483, 142000.000000, 255000.000000
1000000, 35557485, 18675023, 143000.000000, 253000.000000
1000000, 34770843, 18674276, 141000.000000, 256000.000000
1000000, 35247504, 18673642, 139000.000000, 255000.000000
1000000, 35107793, 18674603, 141000.000000, 255000.000000
1000000, 36797814, 18674341, 144000.000000, 255000.000000
1000000, 34730973, 18674412, 143000.000000, 254000.000000
1000000, 35733595, 18673562, 143000.000000, 256000.000000
1000000, 35192070, 18674171, 142000.000000, 254000.000000
1000000, 34803413, 18673964, 140000.000000, 255000.000000
1000000, 35517192, 18674058, 142000.000000, 255000.000000
1000000, 35857916, 18674438, 143000.000000, 257000.000000
1000000, 34792459, 18674508, 142000.000000, 255000.000000
1000000, 35212936, 18675350, 141000.000000, 254000.000000
1000000, 36315917, 18674759, 141000.000000, 255000.000000
1000000, 36475743, 18674171, 142000.000000, 255000.000000
1000000, 35316811, 18674515, 142000.000000, 255000.000000
1000000, 37026386, 18674646, 142000.000000, 254000.000000
1000000, 34409141, 18674175, 141000.000000, 254000.000000
